timestamp,symbol,funding_rate,open_interest,open_interest_value,price,volume
2025-01-27 21:36:41,XBTUSDTM,5.4e-05,,0.0003,101563.2,1321317020.9232
2025-01-27 21:37:00,ETHUSDTM,0.000237,,0.0003,3169.04,377466921.3224
2025-01-27 21:37:15,SOLUSDTM,0.000184,,0.0003,234.415,246298574.659
2025-01-27 21:37:29,AVAXUSDTM,0.000206,,0.0003,34.19,13619795.058999998
2025-01-27 21:37:42,XLMUSDTM,9.2e-05,,0.0003,0.40573,10821362.778199999
2025-01-27 21:39:49,XBTUSDTM,5.4e-05,,0.0003,101346.7,1320798942.1627
2025-01-27 21:40:05,ETHUSDTM,0.000237,,0.0003,3156.64,376878983.368
2025-01-27 21:40:21,SOLUSDTM,0.000184,,0.0003,233.531,246140973.407
2025-01-27 21:40:34,AVAXUSDTM,0.000206,,0.0003,34.02,13546614.312
2025-01-27 21:40:50,XLMUSDTM,9.2e-05,,0.0003,0.40374,10770830.3736
2025-01-27 21:52:11,XBTUSDTM,5.4e-05,,0.0003,101135.7,1325129902.4358
2025-01-27 21:52:20,ETHUSDTM,0.000237,,0.0003,3153.63,378195388.0029
2025-01-27 21:52:31,SOLUSDTM,0.000184,,0.0003,233.538,246744106.824
2025-01-27 21:52:38,AVAXUSDTM,0.000206,,0.0003,33.94,13537915.925999999
2025-01-27 21:52:45,XLMUSDTM,9.2e-05,,0.0003,0.4031,10738499.349
